id	command	search_clause	 not_clause	replace_clause	case sensitive	Latin_name	common_name	local_name	alt_names	note_clause	crops	doit	must_update	comments	exp_cnt	chk	dummy							
1055		row cnt		71	5						30	1051	81	Version: 27/07/2023 16:43:41		Version: 28/07/2023 08:08:40	Version: 01/08/2023 14:43:05							
0		blank id cnt			0							3	0											
2	SKIP	1: do these first			0							0	0											
3	SKIP	1.1: expand latin names			0							0	0											
4	sp_update	C.iria		Rice flatsedge	0	Cyperus iria	Rice flatsedge	"Sud-sud,Alinang"				1	1											
5	sp_update	C. iria)		Rice flatsedge	0							1	1											
6	sp_update	C. iria		Rice flatsedge	0							1	1											
7	sp_update	C. difformis		Rice flatsedge	0	Cyperus difformis	Rice sedge		"Variable flatsedge,Smallflower umbrella-sedge"			1	1											
8	sp_update	{C. difformis }		Rice sedge	0	Cyperus difformis	Rice sedge					1	0											
9	sp_update	C.difformis		Rice sedge	0							1	1											
10	sp_update	C. rotondus		Purple Nutsedge	0	Cyperus rotondus	Purple Nutsedge		"Coco Grass,Java Grass,Nut Grass,Red nut sedge"			1	0											
11	sp_update	D. aegyptium		Crowfoot grass	0	Dactyloctenium aegyptium	Egyptian crowfoot grass					1	1											
12	sp_update	D. ciliaris		Crabgrass	0	Digitaria ciliaris	Southern crabgrass		"Tropical finger-grass,Tropical crabgrass,Summer gras"			1	1											
13	sp_update	e. colona		Wild rice	0	Echinochloa colona			"Jungli rice,Wild rice,Deccan grass,Jharua,Awnless barnyard grass"			1	1											
14	sp_update	e.colona		Wild rice	0	Echinochloa colona						1	1											
15	sp_update	E. crus-galli		Barnyard grass	0	Echinochloa crus-galli						1	1											
16	sp_update	E. crusgalli		Barnyard grass	0	Echinochloa crus-galli						1	1											
17	sp_update	E.globrescens		Torch coral	0	Euphyllia glabrescens						1	1											
18	sp_update	F. miliacea		{Hoorahgrass}	0	{Fimbristylis miliacea}						1	1											
19	sp_update	F.miliacea		{Hoorahgrass}	0	{Fimbristylis miliacea}						1	1											
20	sp_update	F.mliacea		{Hoorahgrass}	0	{Fimbristylis miliacea}						1	1											
21	sp_update	Ischaemum rugosum		Saramolla grass	0	Ischaemum rugosum	Saramolla grass					1	1											
22	sp_update	L. chinensis		Red sprangletop	0	Leptochola chinensis						1	1											
23	sp_update	L.chinesis		Red sprangletop	0	Leptochola chinensis						1	1											
24	sp_update	L. octavalvis		Primrose willow	0	Ludwigia octovalvis 						1	1											
25	sp_update	Tropic ageratum		Tropical whiteweed	0	Ageratum conyzoides	Tropical whiteweed		"Billygoat weed,Bluebonnet,Bluetop"			1	1											
26	sp_update	S.zeylanica		Gooseweed	0	Sphenoclea zeylanica	Gooseweed		"Chickenspike,Wedgewort,Tropic ageratum"			1	1											
27	SKIP	1.2: Standardise Broadleaf Weeds varients			0							1	0											
28	SKIP	Other preprociessing fixups			0							1	0											
29	SKIP	"Grasses (barnyard grass,Leptochloa chinensis,Ischaemum rugosum sedges (c. iria,Cyperus difformis );broadleaf weeds(primrose willow,S."		"Barnyard grass,Red sprangletop,Saramolla grass,Rice flatsedge,Rice sedge,Primrose willow"	0							1	0											
30	SKIP	2: main correction sequence			0							1	0											
31	sp_update	 andfusarium		"{,fusarium}"	0							1	0											
32	sp_update	(common grassy fields) for the control of weeds		Weeds	0							1	0											
33	sp_update	(Palay-maya)		{}	0							1	0											
34	sp_update	*corn weevils		Corn weevil	0							1	0		1									
35	sp_update	{perrenial}		{Perennial}	0							1	0											
36	sp_update	",and "		"{,}"	0							1	0	Check it out in sql										
37	sp_update	"{,Aphids through stem,Mat spray}"		",Aphids"	0							1	1											
38	sp_update	"{,Aphids through stem}"		",Aphids"	0							1	1											
39	sp_update	",Beetle"	",Beetles"	",Beetles"	0							1	0											
40	sp_update	",Cescospora,"		",Cercospora leaf spot,"	0							1	0											
41	sp_update	",freckles"		"{,Banana freckle disease}"	0							1	0			{banana freckle disease								
42	sp_update	",Fruit,Borer"		",Fruit borer"	0							1	0											
43	sp_update	",Paddy,"		",Paddy rice,"	0							1	0											
44	sp_update	",rust"		",Rust"	0							1	0											
45	sp_update	",worm"		",Worm"	0							1	0											
46	sp_update	. Cutworm		",Cutworm"	0							1	0											
47	sp_update	28 spotted beetle		28 Spotted beetle	0							1	0											
48	sp_update	28 spotted beetles		28 Spotted beetle	0							1	0											
49	sp_update	28- spotted bettles		28 Spotted beetle	0							1	0											
50	sp_update	28-spotted Beetle		28 Spotted beetle	0							1	0											
51	sp_update	aanual grasses		Annual grasses	0							1	0											
52	sp_update	Adult flies		Fly	0							1	0											
53	sp_update	alternaria	alternaria l	Alternaria	0							1	0											
54	sp_update	Alternaria Leaf blight		Alternaria leaf blight	0							1	0											
55	sp_update	Alternaria Leafspot		Alternaria leaf spot	0							1	0											
56	sp_update	"Alternaria,Cercospora leaf spot"		"Alternaria leaf spot,Cercospora leaf spot"	0							1	1											
57	sp_update	Alternaria cercospora	cercospora leaf	"Alternaria leaf spot,Cercospora leaf spot"	0							1	1											
58	sp_update	"Alternaria,"		"Alternaria leaf spot,"	0							1	0											
59	sp_update	"Alternative,"		{}	0							1	0											
60	sp_update	alternia		Alternaria	0							1	0											
61	sp_update	andleafminer		",leafminer"	0							1	0			[ Leafminer]								
62	sp_update	andPanama		",Panama"	0							1	0											
63	sp_update	"{, andPlanthopper}"		"{,Planthopper}"	0							1	0											
64	sp_update	"Annual,Perennial broadleaf of weeds"		Broadleaf weeds	0							1	0											
65	sp_update	"Annual Perennial grasses,Sedges,Broadleaf weeds"		"Grasses,Sedges,Broadleaf weeds"	0							1	0											
66	sp_update	"{Annual,Perennial,Grass}"		{Grasses}	0							1	0											
67	sp_update	"Annual,Perennial broadleaves"		Broadleaf weeds	0							1	1											
68	sp_update	"Annual,Perennial grasses"		{Grasses}	0							1	0											
69	sp_update	"{Annual grasses,Broadleaf weeds,Sedges}"		"Annual grasses,Annual broadleaf weeds,Annual sedges"	0							1	0											
70	sp_update	"Annual perennial grasses,Sedges,Broadleaf weeds"		"Grasses,Sedges,Broadleaf weeds"	0							1	0											
71	sp_update	"Annual,Perennial weeds"		Weeds	0							1	0											
72	sp_update	{Annual grasses sedges broad-leaf weeds}		{Annual grasses sedges broad-leaf weeds}	0							1	0											
73	sp_update	{Annual and perennial }		{}	0							1	0											
74	sp_update	{Annual broadleaves}		{Annual broadleaf weeds}	0							1	0											
75	sp_update	{Annual brodleaves}		{Annual broadleaf weeds}	0							1	0											
76	sp_update	{Annual grasses sedges broad-leaf weeds}		"{Annual grasses,Annual sedges,Annual broadleaf weeds}"	0							1	0											
77	sp_update	Annual perrenial grasses		Grasses	0							1	0											
78	sp_update	{Annual Perennial grasses}		Grasses	0							1	0											
79	sp_update	"{Annual,Perennial grasses}"		Grasses	0							1	0											
80	sp_update	anthracnose		Anthracnose	1							1	0											
81	sp_update	Anthracnose (Colletotrichum gloeosporioides		Anthracnose	0	Colletotrichum gloeosporioides						1	0											
82	sp_update	Anthracnose (foliar application)		Anthracnose	0							1	0											
83	sp_update	Anthracnose Scab		"Anthracnose,Scab"	0							1	0											
84	sp_update	Anthracnose(Colletotrichummusae )		Anthracnose	0							1	0											
85	sp_update	Anthracnose/twister Bulb rot		Anthracnose	0							1	0											
86	sp_update	Antracnose		Anthracnose	0							1	0											
87	sp_update	Aphid through stem		Aphids	0							1	0											
88	sp_update	aphids	aphid	Aphids	0							1	0											
89	sp_update	aphipds		Aphids	0							1	0											
90	sp_update	Apple Snail		Golden apple snail	0							1	0											
91	sp_update	{ (% application ofmealy Bugs)}		Mealy bug	0							1	0											
92	sp_update	Army worm		Armyworm	0							1	0											
93	sp_update	armywor	armyworm	Armyworm	0							1	0			Army worm								
94	sp_update	armyworm		Armyworm	0							1	0			Army worm								
95	sp_update	Armyworm ( as pheromone lure)		Armyworm	0							1	0			Army worm								
96	sp_update	Armyworm (pheromone lure)		Armyworm	0							1	0			Army worm								
97	sp_update	armyworm rice bug		"Armyworm,Rice bug"	0							1	0			Army worm								
98	sp_update	"Armyworm,Armyworm"		Armyworm	0							1	0			Army worm								
99	sp_update	Armyworms		Armyworm	0							1	0			Army worm								
100	sp_update	As a surfactant on lampas		{}	0							1	1			Lampas								
101	sp_update	"As tool disinfectant,Foot bath or wheel bath for the control of moko disease/bacterial wilt (ralstonia solanacearum ),Fusarium wilt (fusarium oxysporum f. sp cubense)"		"{Moko disease,Fusarium wilt }"	0							1	1		2									
102	sp_update	"As tool disinfectant,Foot bath,Wheel bath for the control of mokodisease or bacterial wilt (ralstonia solanacearum ),Fusarium wilt"		"{Moko disease,Fusarium wilt }"	0							1	1		1									
103	sp_update	"As tool disinfectant,Foot bath,Tire bath or wheel bath for thecontrol of moko disease/bacterial wilt (ralstonia solanacearum ),"		"{Moko disease,Fusarium wilt }"	0							1	1		1									
104	sp_update	"As tool disinfectant,Foot bath,Tire bath,Or wheel bath for thecontrol of moko disease or bacterial wilt (ralstonia solanacearum )"		"{Moko disease,Fusarium wilt }"	0							1	1		1									
105	sp_update	"As tool disinfectant,Foot bath,Tire bath or wheel bath for the controlof moko disease/bacterial wilt (ralstonia solanacearum ) and"		"{Moko disease,Fusarium wilt }"	0							1	1		1									
106	sp_update	"As foot bath,Tire dip,Tool,Machinery disinfectant for thecontrol of moko disease,Fusarium wilt"		"{Moko disease,Fusarium wilt }"	0							1	1		1									
107	sp_update	As tool disinfectant for the control of panama disease (fusariumoxysporum f. sp. cubense)		{Panama disease}	0							1	1		1									
108	sp_update	As toll disinfectant for the control of moko disease caused byralstonia solanacearum		{Moko disease}	0							1	1		2									
109	sp_update	As tool disinfectant for the control of moko disease (ralstoniasolanacearum )		{Moko disease}	0							1	1		2									
110	sp_update	As adjuvant in tank combination with mancozeb 448 f for thecontrol of sigato		{Sigatoka}	0							1	1		1									
111	sp_update	"As tool desinfectant for the control of fusarium wilt,Bacterial wilt"		"{Moko disease,Fusarium wilt }"	0							1	1		1									
112	sp_update	"As plant growth regulation for the flower induction,Ripening"			0							1	1		1									
113	sp_update	As surfactant on guarantee 10% sc (ai: bispyribac sodium)			0							1	1		1									
114	sp_update	As surfactant on oryza 10 sc (ai: bispyribac sodium)		Stored product pests	0							1	1		1									
115	sp_update	As fumigant for the control of stored product pest			0							1	1		1									
116	sp_update	As surfactant on vero 10 sc(ai: bispyribac sodium)			0							1	1		1									
117	sp_update	As adjuvant for the control of black sigatoka		{Sigatoka}	0							1	1		0									
118	sp_update	As a surface active agent (emulsifier)			0							1	1											
119	sp_update	As a surfactant for vigilante 100 sc			0							1	1											
120	sp_update	As surface active agent (emulsifier)			0							1	1											
121	sp_update	As surfactant for rice max 100 sc			0							1	1	import to here then chk it out in sql										
122	sp_update	As surfactant for aspire sc twin			0							1	1											
123	sp_update	As surfactant on priority 100 sc			0							1	1											
124	sp_update	As surfactant on priority sc 100			0							1	1											
125	sp_update	As surfactant for combee 100 sc			0							1	1											
126	sp_update	As surfactant of drumlin 100 sc			0							1	1											
127	sp_update	As spreader-sticker surfactant			0							1	1											
128	sp_update	As surfactant on exacto sc 100			0							1	1											
129	sp_update	As surfactant on segador 10 sc			0							1	1											
130	sp_update	As surfactant on dozer 10 sc			0							1	1											
131	sp_update	As a surfactant on quadro8			0							1	1											
132	sp_update	{asian corn borer }		{Asian corn borer}	0							1	0											
133	sp_update	Asian corn borer(ostrinia furnacalis guenee )		{Asian corn borer}	0	ostrinia furnacalis guenee						1	1											
134	sp_update	Asiatic corn borer		{Asian corn borer}	0							1	0											
135	sp_update	Aspaaragus worms		Asparagus worm	0							1	0											
136	sp_update	Asparagus worms		Asparagus worm	0							1	0											
137	sp_update	athracnose		Athracnose	0							1	0											
138	sp_update	Athracnose		Anthracnose	0							1	0											
139	sp_update	Bacteria(Pseudomanas spp.)		Bacteria	0	Pseudomanas spp.						1	0											
140	sp_update	{Bacteriaand }		"Bacteria,"	0							1	0											
141	sp_update	bacterial fruit rot		Bacterial fruit rot	0							1	0											
142	sp_update	Bacterial Fruit rot		Bacterial fruit rot	0							1	0											
143	sp_update	{Bacterial heart rot caused by erwina chrysanthemi}		{Bacterial heart rot}	0	erwina chrysanthemi						1	1											
144	sp_update	Bacterial heart rot 		Bacterial heart rot	0	Erwina Chrysanthemi						1	0											
145	sp_update	bacterial leaf blight		Bacterial leaf blight	0							1	0											
146	sp_update	Bacterial Leaf blight		Bacterial leaf blight	0							1	0											
147	sp_update	bacterial rot		Bacterial rot	0							1	0											
148	sp_update	bacterial specks		Bacterial specks	0							1	0											
149	sp_update	bacterial spots		Bacterial spot	0							1	0											
150	sp_update	bacterial wilt		Bacterial wilt	0							1	0			Bacterial wilt)								
151	sp_update	Banana freckle disease in banana		Banana freckle disease	0							1	0											
152	sp_update	Banana ripening		{}	0							1	0											
153	sp_update	Banana Thrips		Thrips	0							1	0											
154	sp_update	"Banded leaf,Sheath blight"		Banded leaf and sheath blight	0							1	0											
155	sp_update	bark borer		Bark borer	0							1	0											
156	sp_update	Barnyard grass spp.		Barnyard grass	0							1	0											
157	sp_update	Barnyard grass barnyard grass		Barnyard grass	0							1	0											
158	sp_update	basal rot		Basal rot	0							1	0											
159	sp_update	Basal/ Bulb rot		"Basal rot,Bulb rot"	0							1	0											
160	sp_update	Basal/Bulb rot		"Basal rot,Bulb rot"	0							1	0											
161	sp_update	Baterial Crown rot		Baterial cown rot	0							1	0											
162	sp_update	bath			0							1	0											
163	sp_update	Bean fly%grubs		"Bean fly,White grub"	0	Holotrichia consanguínea	white grub		True white grub			1	0											
164	sp_update	bean lycaenid		Bean lycaenid	0							1	0											
165	sp_update	Bean Podborer		Bean pod borer	0							1	0											
166	sp_update	"Bean,Podborer"		Bean pod borer	0							1	0											
167	sp_update	Beanflies		Bean fly	0							1	0											
168	sp_update	Beanfly		Bean fly	0							1	0											
169	sp_update	Beet armyworm		Beet armyworm	0							1	0											
170	sp_update	beetle		Beetles	0							1	0											
171	sp_update	Beetle	Beetles	Beetles	0							1	0											
172	sp_update	Beetless		Beetles	0							1	0											
173	sp_update	bermuda grass		Bermuda grass	0							1	0											
174	sp_update	bermuda grasses		Bermuda grass	0							1	0											
175	sp_update	bermudagrass		Bermuda grass	0							1	0											
176	sp_update	Berry Disease		Berry disease	0							1	0											
177	sp_update	Berrybores		Coffee berry borer	0							1	0											
178	sp_update	Black apot		Black spot	0							1	0											
179	sp_update	black borer		Black borer	0							1	0											
180	sp_update	black bug		Black bug	0							1	0											
181	sp_update	black Bugs		Black bug	0							1	0											
182	sp_update	Black leaf sigatoka		Black sigatoka	0							1	0											
183	sp_update	black Leaf spot		black leaf spot	0							1	0											
184	sp_update	Black leaf streak		Black sigatoka	0							1	0											
185	sp_update	black pod		Black pod 	0							1	0											
186	sp_update	black rot		Black rot	0							1	0											
187	sp_update	Black sigatoka /black sigatoka		Black sigatoka	0							1	0											
188	sp_update	Black Sigatoka ( As adjuvant )		Black sigatoka	0							1	0											
189	sp_update	Black sigatoka as adjuvant in combination with fungicide		Black sigatoka	0							1	0											
190	sp_update	Black sigatoka as spray adjuvant		Black sigatoka	0							1	0											
191	sp_update	Black sigatoka as spray advujant in combination with fungicide		Black sigatoka	0							1	0											
192	sp_update	Black sigatoka as spray advujant in combination with the standardfungicide		Black sigatoka	0							1	0											
193	sp_update	Black sigatoka in combination with the standardfungicides used for sigatoka control		Black sigatoka	0							1	0											
194	sp_update	Black sigatoka leaf streak		Black sigatoka	0							1	0											
195	sp_update	"Black spo,"	black spot	"Black spot,"	0							1	0											
196	sp_update	black spots		Black spot	0							1	0											
197	sp_update	Black strife		Black stripe	0							1	0											
198	sp_update	Blackspot		Black spot	0							1	0											
199	sp_update	Blanket application against broadleaves		Broadleaf weeds	0							1	0											
200	sp_update	Blanket application on broadleaves		Broadleaf weeds	0							1	0		Blanket application 									
201	sp_update	blast	Rice blast	Rice blast	0							1	0											
202	sp_update	blight Anthracnose		"Blight,Anthracnose"	0							1	0											
203	sp_update	bligth		blight	0							1	0											
204	sp_update	block rot		Black rot	0							1	0											
205	sp_update	Blossom thrips		Blosson thrips	0							1	0											
206	sp_update	Blosson Thrips		Blosson thrips	0							1	0											
207	sp_update	Blue mold fusarium		"Blue mold,Fusarium"	0							1	0											
208	sp_update	boll weevil		Boll weevil	0							1	0											
209	sp_update	bollweevil		Boll weevil	0							1	0											
210	sp_update	Bollworms		Bollworm	0							1	0											
211	sp_update	Borers		Borer	0							1	0											
212	sp_update	Botrytis Leaf blight		Botrytis leaf blight	0							1	0											
213	sp_update	botrytis Leaf blight		Botrytis leaf blight	0							1	0											
214	sp_update	botrytis Leaf spot		Botrytis leaf spot	0							1	0											
215	sp_update	botrytis rot		Botrytis rot	0							1	0											
216	sp_update	Botrytis rot. Grey molds		"Botrytis rot,Grey molds"	0							1	0											
217	sp_update	BPH		Brown planthopper	0							1	0											
218	sp_update	BroadleavesFimbristylis milliacea(gumi)		"Broad leaf weeds,Hoorahgrass"	0							1	0											
219	sp_update	{ broadleaves }		{Broadleaf weeds}	0							1	0											
220	sp_update	broad leaves		{Broadleaf weeds}	0							1	0											
221	sp_update	Broadleaf of weeds		{Broadleaf weeds}	0							1	0											
222	sp_update	broadleaf weed	broadleaf weeds 	{Broadleaf weeds}	0							1	0											
223	sp_update	Broadleaf Weeds		{Broadleaf weeds}	0							1	0											
224	sp_update	broadleaf weeds		{Broadleaf weeds}	0							1	0											
225	sp_update	Broadleaf Weeds		{Broadleaf weeds}	0							1	0											
226	sp_update	Broad-leaf Weeds		{Broadleaf weeds}	0							1	0											
227	sp_update	broadleaf weedss		{Broadleaf weeds}	0							1	0											
228	sp_update	{Broadleaf weeds weeds}		{Broadleaf weeds}	0							1	0											
229	sp_update	Broad-leaved weeds		{Broadleaf weeds}	0							1	0											
230	sp_update	broadleaves		{Broadleaf weeds}	0							1	0											
231	sp_update	Brodaleaf weeds		{Broadleaf weeds}	0							1	0											
232	sp_update	brodleaf weeds		{Broadleaf weeds}	0							1	0			Broadleaf weeds weeds								
233	sp_update	brodleaves		{Broadleaf weeds}	0							1	0			Broadleaf weeds weeds								
234	sp_update	Brodleaves		{Broadleaf weeds}	0							1	0											
235	sp_update	Broadleaf weeds weeds		{Broadleaf weeds}	0							1	0											
236	sp_update	browm Planthopper		Brown planthopper	0							1	0			broadleaves								
237	sp_update	brown bark rot		Brown bark rot	0							1	0			Broad-leaf Weeds								
238	sp_update	brown leaf spot		Brown leaf spot	0							1	0			broadleaf weedss								
239	sp_update	Brown Leaf spot		Brown leaf spot	0							1	0											
240	sp_update	Brown Leafhopper		Brown leafhopper	0							1	0											
241	sp_update	brown Leafspot (drone application)		Brown leaf spot	0							1	0			(drone application)								
242	sp_update	Brown plant hopper		Brown planthopper	0							1	0											
243	sp_update	Brown Planthopper		Brown planthopper	0							1	0											
244	sp_update	brown Planthopper		Brown planthopper	0							1	0											
245	sp_update	Brown planthopper (Nilaparvata Lugens)		Brown planthopper	0							1	0			Nilaparvata Lugens								
246	sp_update	Brown spots		Brown spot	0							1	0											
247	sp_update	brown/whitebacked planthopper		"Brown planthopper,White backed planthopper"	0							1	0											
248	sp_update	brownplanthopper		Brown planthopper	0							1	0											
249	sp_update	budworm 		Budworm	0							1	0											
250	sp_update	BudwormAphid		"Budworm,Aphids"	0							1	0											
251	sp_update	Budworms		Budworm	0							1	0											
252	sp_update	bugs		Bugs	0							1	0											
253	sp_update	bulb rot		Bulb rot	0							1	0											
254	sp_update	Burrowing Nematode		Burrowing nematode	0							1	0											
255	sp_update	Burrowing nematodes		Burrowing nematode	0							1	0											
256	sp_update	Burrowing of nematode (Radopholus Similis)		Nematode	0	Radopholus Similis						1	0											
257	sp_update	Bush Snail		Bush snail	0							1	0											
258	sp_update	"Bush,Snails"		Bush snail	0							1	0											
259	sp_update	Bush snails		Bush snail	0							1	0											
260	sp_update	butt mold	Butt molds	Butt mold	0							1	0											
261	sp_update	butt molds		Butt mold	0							1	0											
262	sp_update	"Butt,Crown mold"		"Butt mold,Crown mold"	0							1	0											
263	sp_update	"Butt,Crown rot"		"Butt rot,Crown rot"	0							1	0											
264	sp_update	buttonweed		Buttonweed	0							1	0											
265	sp_update	cabagge moth		Cabagge moth	0							1	0											
266	sp_update	cabbage butterfly		Cabbage butterfly	0							1	0											
267	sp_update	cabbage looper		Cabbage looper	0							1	0											
268	sp_update	cabbage moth		Cabagge moth	0							1	0											
269	sp_update	cabbage worm		Cabbage worm	0							1	0											
270	sp_update	Cabbage worm Aphid		"Cabbage worm,Aphid"	0							1	0											
271	sp_update	cabbage wormd		Cabbage worm	0							1	0											
272	sp_update	cabbage worms		Cabbage worm	0							1	0											
273	sp_update	cadelle		Cadelle beetle	0							1	0											
274	sp_update	calopogonium		Calopogonium	0							1	0											
275	sp_update	canker fruit rot		"Canker,Fruit rot"	0							1	0											
276	sp_update	capsid bug		Capsid bug	0							1	0											
277	sp_update	capsid bugs		Capsid bug	0							1	0											
278	sp_update	caseworm		Caseworm	0							1	0											
279	sp_update	caseworms		Caseworm	0							1	0											
280	sp_update	caspid bugs		Capsid bug	0							1	0											
281	sp_update	Cass%ava for the control of			0							1	1											
282	sp_update	caterpillars		Caterpillar	1							1	0	test: should fail: chk 0 rows updates										
283	sp_update	Cecid	Cecid fly	Cecid fly	0							1	0											
284	sp_update	cecid fly		Cecid fly	0							1	0			Cercospora leafpineapple mold								
285	sp_update	Cecosporaleaf spot		Cercospora leaf spot	0							1	0											
286	SQL	"UPDATE Staging2 SET pathogens = REPLACE(pathogens,'cercospora' ,'Cercospora leafspot') WHERE pathogens LIKE '%cercospora'  OR pathogens LIKE '%cercospora,%'  "	Cercospora leafspot	Cercospora leaf spot	0							1	0											
287	sp_update	cercospora alternaria		"Cercospora leaf spot,Alternaria"	0							1	0											
288	sp_update	cercospora blight		Cercospora leaf blight	0							1	0											
289	sp_update	cercospora leaf blight		Cercospora leaf blight	0							1	0											
290	sp_update	cercospora leaf mold		Cercospora leaf mold	0							1	0											
291	sp_update	cercospora leaf spot		Cercospora leaf spot	0							1	0											
292	sp_update	cercospora leafspot		Cercospora leaf spot	0							1	0											
293	sp_update	Cercospora Leafspot		Cercospora leaf spot	0							1	0											
294	sp_update	Cercospora spot		Cercospora leaf spot	0							1	0											
295	sp_update	Cercospora%eaf%spot		Cercospora leaf spot	0							1	0											
296	sp_update	cercosporaleaf spot		Cercospora leaf spot	0							1	0											
297	sp_update	cercosporaleafspot		Cercospora leaf spot	0							1	0											
298	sp_update	Cercspora	{Cercospora }	Cercospora leaf spot	0							1	0											
299	sp_update	Certain annual grasses		Annual grasses	0							1	0											
300	sp_update	Citrus Black Spot Black spot		Citrus black Spot	0							1	0											
301	sp_update	Citrus black spot black spot		Citrus black spot	0							1	0											
302	sp_update	Citrus Black Spot scab		"Citrus black Spot,Scab"	0							1	0											
303	sp_update	Citrus black spot scab		"Citrus black spot,Scab"	0							1	0											
304	sp_update	Citrus brown rot spot		"Citrus brown rot,Citrus spot"	0							1	0											
305	sp_update	club root		Clubroot	0							1	0			Cercospora leafpineapple mold								
306	sp_update	Clubroot caused by Plasmodiophora brassicae		Clubroot	0	Plasmodiophora brassicae						1	0											
307	sp_update	Coffee Berry disease		Coffee berry disease	0							1	0											
308	sp_update	coffee berry disease		Coffee berry disease	0							1	0											
309	sp_update	Coffee berry diseases		Coffee berry disease	0							1	0											
310	sp_update	Coffee ripening			0							1	0											
311	sp_update	Coffee Rust		Coffee rust	0							1	0											
312	sp_update	"Coffee Rust,Berry Diseases"		"Coffee rust,Coffee berry disease"	0							1	0											
313	sp_update	"Coffee,Berry disease"		"Coffee rust,Coffee berry disease"	0							1	0											
314	sp_update	Cogon shade conditions		Cogon grass	0							1	0											
315	sp_update	"Cogon,Mutha,Paragrass,Talahib,Fern,"		"Cogon grass,Mutha grass,Para grass,Talahib grass,Fern grass,"	0							1	0											
316	sp_update	comborer		{Asian corn borer}	0	Ostrinia furnacalis						1	0											
317	sp_update	Common cutworm(spodoptera litura )		Common cutworm	0	Spodoptera litura						1	0											
318	sp_update	Common grassy field		Weeds	0							1	0											
319	sp_update	confused	confused flour Beetle	Confused flour beetle	0							1	0											
320	sp_update	Confused flour Beetle		Confused flour beetle	0							1	0											
321	sp_update	Confused flour beetleflourbeetle		Confused flour beetle	0							1	0											
322	sp_update	Corm weevils		Corm weevil	0							1	0											
323	sp_update	Corn borer	Asian corn borer	{Asian corn borer}	0							1	0											
324	sp_update	corn earworm		Corn earworm	0							1	0											
325	sp_update	Corn Earworm		Corn earworm	0							1	0											
326	sp_update	corn rot		Corn rot	0							1	0											
327	sp_update	corn weevil		Corn weevil	0							1	0											
328	sp_update	corn weevils		Corn weevil	0							1	0											
329	sp_update	"corn,"		"Corn,"	0							1	0											
330	sp_update	"Corn,Rice weevil"		"Corn weevil,Rice weevil"	0							1	0											
331	sp_update	Cornborer		{Asian corn borer}	0							1	0											
332	sp_update	cotton stainer		Cotton stainer bug	0		Dysdercus koenigii					1	0											
333	sp_update	crabgrasses		Crabgrass	0							1	1											
334	sp_update	{Crabgrass)}		Crabgrass	0							1	0											
335	sp_update	crickets		Crickets	0							1	0											
336	sp_update	crowfoot grass		Crowfoot grass	0							1	0											
337	sp_update	crowfort grass		Crowfoot grass	0							1	0											
338	sp_update	crown rot		Crown rot	0							1	0											
339	sp_update	Crown rot pathogens		Crown rot	0							1	0											
340	sp_update	"Crown,Spear rot"		Crown and spear rot	0							1	0											
341	sp_update	Crusgalli		Barnyard grass	0	Echinochloa crus-galli						1	0											
342	sp_update	cut worm		Cutworm	0							1	0											
343	sp_update	cutrworm		Cutworm	0							1	0											
344	sp_update	cutworm		Cutworm	0							1	0											
345	sp_update	Cutworm whiteflies		"Cutworm,Whitefly"	0							1	0											
346	sp_update	Cutworm/budworm		"Cutworm,Budworm"	0							1	0											
347	sp_update	Cutworms		Cutworm	0							1	0											
348	sp_update	cyperaceous weeds		Cyperaceous weeds	0							1	0											
349	sp_update	Cyperus difformis		Rice flatsedge	0							1	1											
350	sp_update	cyperus iria		Rice flatsedge	0							1	0											
351	sp_update	Cyperus iria (Payong-payong)		Rice flatsedge	0	Payong-payong						1	0											
